img_size,img_number,preprocessing,model,model_params,accuracy_score,recall_score,f1_score,f2_score,roc_auc_score
128,3000,"local_equalize_hist, gabor",LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.5959595959595959,0.5924453280318092,0.5983935742971888,0.5948103792415169,
128,3000,gabor,RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.7171717171717171,0.7199124726477024,0.7014925373134329,0.7124296232135123,0.7928245634922264
128,3000,gabor,LogisticRegression,"[[], {'max_iter': 1000}]",0.6585858585858586,0.6280087527352297,0.6293859649122807,0.6285589137100307,0.7018445609468719
128,3000,gabor,LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.6434343434343435,0.6192560175054704,0.6158868335146899,0.6179039301310044,
128,3000,hog,RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.6747474747474748,0.701010101010101,0.6830708661417323,0.6937225109956018,0.7312192633404754
128,3000,hog,LogisticRegression,"[[], {'max_iter': 1000}]",0.6636363636363637,0.6707070707070707,0.6659979939819458,0.6688154713940371,0.7124334251606979
128,3000,hog,LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.6484848484848484,0.6626262626262627,0.6533864541832669,0.6588991562876657,
128,3000,local_equalize_hist,RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.696969696969697,0.7629482071713147,0.7185741088180112,0.744556765163297,0.764913705832408
128,3000,local_equalize_hist,LogisticRegression,"[[], {'max_iter': 1000}]",0.6393939393939394,0.6613545816733067,0.6503428011753183,0.6569054214483577,0.6748477401867938
128,3000,local_equalize_hist,LinearSVC,"[[], {'max_iter': 10000, 'random_state': 74}]",0.6232323232323232,0.6334661354581673,0.6303270564915758,0.6322067594433399,
128,5000,pca_size_128_n_1,RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.7369696969696969,0.7294117647058823,0.7407407407407407,0.7339015151515151,0.8097183823529412
128,5000,pca_size_128_n_2,RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.7369696969696969,0.7294117647058823,0.7407407407407407,0.7339015151515151,0.8097183823529412
128,5000,pca_size_128_n_8,RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.7369696969696969,0.7294117647058823,0.7407407407407407,0.7339015151515151,0.8097183823529412
128,5000,pca_size_128_n_32,RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.7369696969696969,0.7294117647058823,0.7407407407407407,0.7339015151515151,0.8097183823529412
128,5000,pca_size_128_n_128,RandomForestClassifier,"[[], {'n_jobs': -1, 'random_state': 74}]",0.7369696969696969,0.7294117647058823,0.7407407407407407,0.7339015151515151,0.8097183823529412
